breach_date	data_class	total_number_of_affected_accounts
2017-09-07	Geographic locations	762874
2017-09-07	Passwords	762874
2017-09-07	Phone numbers	762874
2018-10-10	Email addresses	2467304
2018-10-10	Names	2467304
2018-10-10	Passwords	2467304
2018-10-10	Phone numbers	2467304
2018-06-17	Email addresses	606637
2018-06-17	Names	606637
2018-06-17	Passwords	606637
2018-06-17	Physical addresses	606637
2018-06-17	Usernames	606637
2015-10-22	Email addresses	3122898
2015-10-22	IP addresses	3122898
2015-10-22	Passwords	3122898
2015-10-22	Usernames	3122898
2016-12-05	Dates of birth	366140
2016-12-05	Email addresses	366140
2016-12-05	IP addresses	366140
2016-12-05	Passwords	366140
2016-12-05	Social connections	366140
2016-12-05	Usernames	366140
2016-12-05	Website activity	366140
2014-02-17	Age groups	37784
2014-02-17	Email addresses	37784
2014-02-17	Employers	37784
2014-02-17	Names	37784
2014-02-17	Passwords	37784
2014-02-17	Phone numbers	37784
2014-02-17	Physical addresses	37784
2014-02-17	Website activity	37784
2016-06-24	Chat logs	149830
2016-06-24	Email addresses	149830
2016-06-24	Geographic locations	149830
2016-06-24	IP addresses	149830
2016-06-24	Passwords	149830
2016-06-24	Private messages	149830
2016-06-24	User statuses	149830
2016-06-24	Usernames	149830
2015-02-18	Credit status information	972629
2015-02-18	Email addresses	972629
2015-02-18	Home loan information	972629
2015-02-18	Income levels	972629
2015-02-18	IP addresses	972629
2015-02-18	Names	972629
2015-02-18	Passwords	972629
2015-02-18	Personal descriptions	972629
2015-02-18	Physical addresses	972629
2017-10-26	Email addresses	91991358
2017-10-26	Passwords	91991358
2008-07-01	Email addresses	359420698
2008-07-01	Passwords	359420698
2008-07-01	Usernames	359420698
2015-08-15	Email addresses	19863
2015-08-15	Passwords	19863
2015-08-15	Usernames	19863
2015-10-21	Dates of birth	287071
2015-10-21	Email addresses	287071
2015-10-21	Genders	287071
2015-10-21	Names	287071
2015-10-21	Passwords	287071
2015-10-21	Phone numbers	287071
2015-10-21	Physical addresses	287071
2015-10-21	Purchases	287071
2016-03-14	Dates of birth	1398630
2016-03-14	Email addresses	1398630
2016-03-14	IP addresses	1398630
2016-03-14	Passwords	1398630
2016-03-14	Usernames	1398630
2016-03-14	Website activity	1398630
2013-05-05	Dates of birth	26892897
2013-05-05	Email addresses	26892897
2013-05-05	Genders	26892897
2013-05-05	Geographic locations	26892897
2013-05-05	IP addresses	26892897
2013-05-05	Names	26892897
2013-05-05	Passwords	26892897
2013-05-05	Usernames	26892897
2015-10-19	Email addresses	234842089
2015-10-19	Passwords	234842089
2010-05-17	Account balances	3619948
2010-05-17	Dates of birth	3619948
2010-05-17	Email addresses	3619948
2010-05-17	Genders	3619948
2010-05-17	IP addresses	3619948
2010-05-17	Names	3619948
2010-05-17	Phone numbers	3619948
2010-05-17	Physical addresses	3619948
2010-05-17	Security questions and answers	3619948
2010-05-17	Website activity	3619948
2020-12-21	Dates of birth	1436435
2020-12-21	Email addresses	1436435
2020-12-21	IP addresses	1436435
2020-12-21	Names	1436435
2020-12-21	Passwords	1436435
2020-12-21	Phone numbers	1436435
2020-12-21	Physical addresses	1436435
2020-12-21	Usernames	1436435
2012-11-01	Email addresses	49038354
2012-11-01	Passwords	49038354
2016-09-01	Email addresses	33698126
2016-09-01	Employers	33698126
2016-09-01	Job titles	33698126
2016-09-01	Names	33698126
2016-09-01	Phone numbers	33698126
2016-09-01	Physical addresses	33698126
2017-12-07	Dates of birth	499836
2017-12-07	Email addresses	42317729
2017-12-07	Names	42317729
2017-12-07	Purchases	499836
2017-12-07	Genders	41817893
2017-12-07	Geographic locations	41817893
2017-12-07	Passwords	41817893
2017-12-07	Social media profiles	41817893
2017-12-07	Usernames	41817893
2017-12-07	Website activity	41817893
2014-04-22	Email addresses	1194597
2014-04-22	IP addresses	1194597
2014-04-22	Passwords	1194597
2014-04-22	Usernames	1194597
2013-07-22	Email addresses	5915013
2013-07-22	Passwords	5915013
2013-07-22	Usernames	5915013
2020-09-28	Email addresses	77159696
2020-09-28	Names	77159696
2020-09-28	Passwords	77159696
2013-05-21	Email addresses	75383
2013-05-21	IP addresses	75383
2013-05-21	Names	75383
2013-05-21	Passwords	75383
2013-05-21	Usernames	75383
2013-05-21	Website activity	75383
2020-05-20	Email addresses	43491
2020-05-20	IP addresses	43491
2020-05-20	Passwords	43491
2020-05-20	Private messages	43491
2020-05-20	Usernames	43491
2016-05-06	Dates of birth	599080
2016-05-06	Email addresses	599080
2016-05-06	IP addresses	599080
2016-05-06	Passwords	599080
2016-05-06	Private messages	599080
2016-05-06	Usernames	599080
2016-05-06	Website activity	599080
2021-02-12	Email addresses	10585
2018-12-26	Email addresses	4155579
2018-12-26	IP addresses	4155579
2018-12-26	Passwords	4155579
2018-12-26	Private messages	161143
2018-12-26	Usernames	161143
2018-12-26	Names	3994436
2018-12-26	Partial credit card data	3994436
2020-04-02	Email addresses	263189
2020-04-02	IP addresses	263189
2020-04-02	Passwords	263189
2020-04-02	Private messages	263189
2020-04-02	Usernames	263189
2017-08-28	Email addresses	711477622
2017-08-28	Passwords	711477622
2017-11-28	Avatars	512311
2017-11-28	Email addresses	512311
2017-11-28	IP addresses	512311
2017-11-28	Phone numbers	512311
2017-11-28	Physical addresses	512311
2017-11-28	Purchases	512311
2017-11-28	Social media profiles	512311
2017-11-28	Usernames	512311
2020-06-29	Dates of birth	270069942
2020-06-29	Email addresses	270069942
2020-06-29	Names	270069942
2020-06-29	Passwords	270069942
2020-06-29	Phone numbers	1304447
2020-06-29	Bios	268765495
2020-06-29	Genders	268765495
2020-06-29	Geographic locations	268765495
2020-06-29	IP addresses	268765495
2020-06-29	Social media profiles	268765495
2020-06-29	User website URLs	268765495
2020-06-29	Usernames	268765495
2019-05-07	Email addresses	41960
2019-05-07	Email messages	41960
2019-05-07	Geographic locations	41960
2019-05-07	Passwords	41960
2019-05-07	Phone numbers	41960
2021-01-20	Bank account numbers	1834006
2021-01-20	Dates of birth	1834006
2021-01-20	Email addresses	1834006
2021-01-20	Genders	1834006
2021-01-20	Names	1834006
2021-01-20	Partial credit card data	1834006
2021-01-20	Payment histories	1834006
2021-01-20	Phone numbers	1834006
2021-01-20	Physical addresses	1834006
2010-10-25	Account balances	590954
2010-10-25	Dates of birth	590954
2010-10-25	Email addresses	590954
2010-10-25	IP addresses	590954
2010-10-25	Names	590954
2010-10-25	Phone numbers	590954
2010-10-25	Physical addresses	590954
2010-10-25	Security questions and answers	590954
2010-10-25	Usernames	590954
2010-10-25	Website activity	590954
2021-03-21	Email addresses	20949825
2021-03-21	Licence plates	20949825
2021-03-21	Names	20949825
2021-03-21	Passwords	20949825
2021-03-21	Phone numbers	20949825
2015-10-01	Email addresses	2330382
2015-10-01	Passwords	2330382
2015-10-01	Payment histories	2330382
2015-10-01	Physical addresses	2330382
2015-10-01	Private messages	2330382
2015-10-01	Website activity	2330382
2016-12-15	Browser user agent details	400260
2016-12-15	Email addresses	400260
2016-12-15	IP addresses	400260
2016-12-15	Names	400260
2016-12-15	Partial credit card data	400260
2016-12-15	Passwords	400260
2016-12-15	Phone numbers	400260
2016-12-15	Website activity	400260
2019-01-20	Email addresses	4227907
2019-01-20	Names	4227907
2019-01-20	Passwords	4227907
2018-04-02	Email addresses	110964206
2018-04-02	Passwords	110964206
2020-12-16	Dates of birth	358822
2020-12-16	Email addresses	358822
2020-12-16	Names	358822
2020-12-16	Passwords	358822
2020-12-16	Phone numbers	358822
2020-12-16	Physical addresses	358822
2017-12-09	Email addresses	990919
2017-12-09	Passwords	990919
2015-10-27	Dates of birth	173891
2015-10-27	Email addresses	173891
2015-10-27	IP addresses	173891
2015-10-27	Passwords	173891
2015-10-27	Usernames	173891
2015-10-27	Website activity	173891
2013-12-04	Email addresses	38108
2013-12-04	Passwords	38108
2020-10-07	Email addresses	1906808
2020-10-07	Geographic locations	1906808
2020-10-07	Names	1906808
2020-10-07	Passwords	1906808
2020-10-07	Social media profiles	1906808
2019-07-01	Email addresses	4430115
2019-07-01	IP addresses	624252
2019-07-01	Passwords	4430115
2019-07-01	Usernames	4430115
2015-07-02	Email addresses	327314
2015-07-02	IP addresses	327314
2015-07-02	Passwords	327314
2015-07-02	Usernames	327314
2018-10-12	Dates of birth	3225080
2018-10-12	Device information	3225080
2018-10-12	Email addresses	3225080
2018-10-12	Genders	3225080
2018-10-12	IP addresses	3225080
2018-10-12	Names	3225080
2018-10-12	Passwords	3225080
2018-10-12	Social media profiles	3225080
2018-10-12	Usernames	3225080
2015-07-28	Email addresses	657001
2015-07-28	IP addresses	657001
2015-07-28	Passwords	657001
2015-07-28	Time zones	657001
2015-07-28	Usernames	657001
2015-07-28	Website activity	657001
2014-08-08	Email addresses	116465
2014-08-08	Genders	116465
2014-08-08	IP addresses	116465
2014-08-08	Passwords	116465
2014-08-08	Usernames	116465
2014-08-08	Website activity	116465
2016-10-01	Email addresses	830155
2016-10-01	IP addresses	830155
2016-10-01	Passwords	830155
2014-07-01	Email addresses	709926
2014-07-01	IP addresses	709926
2014-07-01	Passwords	709926
2014-07-01	Usernames	709926
2018-05-16	Email addresses	36395491
2018-05-16	Genders	36395491
2018-05-16	Geographic locations	36395491
2018-05-16	Names	36395491
2018-05-16	Passwords	36395491
2018-05-16	Usernames	36395491
2020-06-26	Email addresses	444453
2020-06-26	Names	444453
2020-06-26	Passwords	444453
2020-06-26	Phone numbers	444453
2020-06-26	Physical addresses	444453
2020-06-26	Usernames	444453
2019-08-03	Email addresses	1277761
2019-08-03	Names	1277761
2015-09-25	Email addresses	3029184
2015-09-25	IP addresses	3029184
2015-09-25	Passwords	3029184
2015-09-25	Usernames	3029184
2015-02-01	Email addresses	773670
2015-02-01	IP addresses	773670
2015-02-01	Passwords	773670
2015-02-01	Usernames	773670
2014-03-18	Email addresses	48592
2014-03-18	IP addresses	48592
2014-03-18	Passwords	48592
2014-03-18	Private messages	48592
2014-03-18	Usernames	48592
2014-03-18	Website activity	48592
2015-12-14	Dates of birth	4907802
2015-12-14	Email addresses	4907802
2015-12-14	IP addresses	4907802
2015-12-14	Passwords	4907802
2015-12-14	Usernames	4907802
2015-12-14	Website activity	4907802
2014-03-01	Email addresses	91436280
2014-03-01	Passwords	91436280
2014-03-01	Usernames	91436280
2016-11-19	Email addresses	7445067
2016-11-19	Employers	7445067
2016-11-19	Job titles	7445067
2016-11-19	Names	7445067
2016-11-19	Phone numbers	7445067
2021-01-31	Browser user agent details	938981
2021-01-31	Email addresses	938981
2021-01-31	IP addresses	938981
2021-01-31	Names	938981
2021-01-31	Passwords	938981
2018-08-06	Email addresses	149958
2018-08-06	Names	149958
2018-08-06	Passwords	149958
2016-09-06	Email addresses	7793570
2016-09-06	Names	307768
2016-09-06	Phone numbers	307768
2016-09-06	Physical addresses	307768
2016-09-06	Passwords	7485802
2016-09-06	Usernames	7485802
2016-05-20	Browser user agent details	104977
2016-05-20	Credit card CVV	104977
2016-05-20	Email addresses	104977
2016-05-20	IP addresses	104977
2016-05-20	Names	104977
2016-05-20	Partial credit card data	104977
2016-05-20	Phone numbers	104977
2016-05-20	Physical addresses	104977
2016-05-20	Purchases	104977
2021-09-11	Browser user agent details	72596
2021-09-11	Email addresses	72596
2021-09-11	Geographic locations	72596
2021-09-11	IP addresses	72596
2021-09-11	Names	72596
2017-02-23	Email addresses	71153
2017-02-23	Passwords	71153
2016-05-09	Email addresses	1160056
2016-05-09	IP addresses	107303
2016-05-09	Passwords	1160056
2016-05-09	Usernames	1160056
2018-09-18	Email addresses	2457420
2018-09-18	Genders	2457420
2018-09-18	Names	2457420
2018-09-18	Physical addresses	2457420
2015-04-14	Dates of birth	32939105
2015-04-14	Email addresses	32939105
2015-04-14	Genders	32939105
2015-04-14	IP addresses	32939105
2015-04-14	Names	32939105
2015-04-14	Physical addresses	32939105
2015-07-12	Email addresses	281924
2015-07-12	Passwords	281924
2015-07-12	Usernames	281924
2017-01-09	Dates of birth	780073
2017-01-09	Email addresses	780073
2017-01-09	Ethnicities	780073
2017-01-09	Genders	780073
2017-01-09	Names	780073
2017-01-09	Physical attributes	780073
2020-09-17	Email addresses	20529819
2020-09-17	Geographic locations	20529819
2020-09-17	Names	20529819
2020-09-17	Passwords	20529819
2020-09-17	Phone numbers	20529819
2021-06-26	Dates of birth	505466
2021-06-26	Email addresses	505466
2021-06-26	Genders	505466
2021-06-26	Names	505466
2021-06-26	Passwords	505466
2021-06-26	Phone numbers	505466
2021-06-26	Physical addresses	505466
2021-06-26	Social media profiles	505466
2021-06-26	Usernames	505466
2016-02-19	Email addresses	117070
2016-02-19	Passwords	117070
2016-02-19	Usernames	117070
2020-02-16	Email addresses	857611
2020-02-16	Names	857611
2020-02-16	Phone numbers	857611
2020-02-16	Physical addresses	857611
2020-02-16	Purchases	857611
2017-09-10	Email addresses	386489
2017-09-10	Genders	386489
2017-09-10	Geographic locations	386489
2017-09-10	Passwords	386489
2017-09-10	Usernames	386489
2017-09-10	Website activity	386489
2015-03-14	Email addresses	1410899
2015-03-14	IP addresses	1410899
2015-03-14	Passwords	1410899
2015-03-14	Usernames	1410899
2019-06-13	Email addresses	184823
2019-06-13	IP addresses	184823
2019-06-13	Passwords	184823
2019-06-13	Private messages	184823
2019-06-13	Usernames	184823
2018-11-03	Email addresses	14609
2018-11-03	IP addresses	14609
2018-11-03	Names	14609
2018-11-03	Passwords	14609
2018-11-03	Phone numbers	14609
2019-12-30	Email addresses	751700
2019-12-30	Names	751700
2019-12-30	Passwords	751700
2019-12-30	Usernames	751700
2011-06-02	Dates of birth	37103
2011-06-02	Email addresses	37103
2011-06-02	Genders	37103
2011-06-02	Names	37103
2011-06-02	Passwords	37103
2011-06-02	Phone numbers	37103
2011-06-02	Physical addresses	37103
2011-06-02	Usernames	37103
2015-07-16	Dates of birth	130705
2015-07-16	Email addresses	130705
2015-07-16	Genders	130705
2015-07-16	Geographic locations	130705
2015-07-16	Names	130705
2015-07-16	Passwords	130705
2015-07-16	Social connections	130705
2015-10-07	Dates of birth	30741620
2015-10-07	Email addresses	30741620
2015-10-07	Genders	30741620
2015-10-07	IP addresses	30741620
2015-10-07	Names	30741620
2015-10-07	Physical addresses	30741620
2014-02-22	Email addresses	55622
2014-02-22	Employers	55622
2014-02-22	Job titles	55622
2014-02-22	Names	55622
2014-02-22	Phone numbers	55622
2014-02-22	Physical addresses	55622
2018-08-16	Audio recordings	44109
2018-08-16	Browsing histories	44109
2018-08-16	Device information	44109
2018-08-16	Email addresses	44109
2018-08-16	Geographic locations	44109
2018-08-16	IMEI numbers	44109
2018-08-16	IP addresses	44109
2018-08-16	Names	44109
2018-08-16	Passwords	44109
2018-08-16	Photos	44109
2018-08-16	SMS messages	44109
2016-03-11	Credit cards	26815
2016-03-11	Email addresses	26815
2016-03-11	IP addresses	26815
2016-03-11	Passwords	26815
2016-03-11	Support tickets	26815
2016-03-11	Usernames	26815
2015-02-26	Customer interactions	139395
2015-02-26	Dates of birth	139395
2015-02-26	Email addresses	139395
2015-02-26	Genders	139395
2015-02-26	IP addresses	139395
2015-02-26	MAC addresses	139395
2015-02-26	Names	139395
2015-02-26	Passport numbers	139395
2015-02-26	Passwords	139395
2015-02-26	Phone numbers	139395
2017-03-09	Dates of birth	1619544
2017-03-09	Email addresses	1619544
2017-03-09	Genders	1619544
2017-03-09	Names	1619544
2017-03-09	Passwords	1619544
2017-03-09	Phone numbers	1619544
2017-03-09	Physical addresses	1619544
2017-03-09	Spoken languages	1619544
2019-07-26	Email addresses	6840339
2019-07-26	Names	6840339
2019-07-26	Passwords	6840339
2019-07-26	Physical addresses	6840339
2019-07-26	Purchases	6840339
2019-07-26	Usernames	6840339
2015-08-07	Email addresses	1047200
2015-08-07	Names	1047200
2015-08-07	Passwords	1047200
2015-08-07	Usernames	1047200
2020-02-14	Email addresses	48580249
2020-02-14	Genders	48580249
2020-02-14	Names	48580249
2020-02-14	Phone numbers	48580249
2020-02-14	Physical addresses	48580249
2011-12-24	Credit cards	859777
2011-12-24	Email addresses	859777
2011-12-24	Names	859777
2011-12-24	Passwords	859777
2011-12-24	Phone numbers	859777
2011-12-24	Physical addresses	859777
2011-12-24	Usernames	859777
2016-06-28	Email addresses	988230
2016-06-28	Names	988230
2016-06-28	Passwords	988230
2016-06-28	Usernames	988230
2018-07-04	Email addresses	5187305
2018-07-04	Passwords	5187305
2018-07-04	Usernames	5187305
2016-11-01	Email addresses	6137666
2016-11-01	Passwords	6137666
2016-11-01	Usernames	6137666
2014-06-21	Email addresses	285191
2014-06-21	IP addresses	285191
2014-06-21	Passwords	285191
2014-06-21	Usernames	285191
2014-06-21	Website activity	285191
2021-02-25	Device information	20339937
2021-02-25	Device serial numbers	20339937
2021-02-25	Email addresses	20339937
2021-02-25	Geographic locations	20339937
2021-02-25	IMSI numbers	20339937
2021-02-25	Login histories	20339937
2015-04-01	Email addresses	254867
2015-04-01	Passwords	254867
2015-04-01	Usernames	254867
2019-11-24	Dates of birth	7327477
2019-11-24	Email addresses	7327477
2019-11-24	Genders	7327477
2019-11-24	Geographic locations	7327477
2019-11-24	Names	7327477
2019-11-24	Passwords	7327477
2019-11-24	Phone numbers	7327477
2019-11-24	Usernames	7327477
2020-02-28	Dates of birth	494945
2020-02-28	Email addresses	494945
2020-02-28	Genders	494945
2020-02-28	Geographic locations	494945
2020-02-28	IP addresses	494945
2020-02-28	Names	494945
2020-02-28	Passwords	494945
2017-08-01	Email addresses	27971100
2017-08-01	Passwords	27971100
2017-08-01	Usernames	27971100
2014-12-22	Email addresses	442166
2014-12-22	IP addresses	442166
2014-12-22	Passwords	442166
2014-12-22	Usernames	442166
2018-11-30	Chat logs	265410
2018-11-30	Email addresses	265410
2018-11-30	IP addresses	265410
2018-11-30	Passwords	265410
2018-11-30	Private messages	265410
2018-11-30	Time zones	265410
2020-04-01	Email addresses	8234193
2020-04-01	Geographic locations	8234193
2020-04-01	Names	8234193
2020-04-01	Social media profiles	8234193
2015-04-27	Email addresses	107776
2015-04-27	Email messages	107776
2016-05-28	Avatars	97151
2016-05-28	Email addresses	97151
2016-05-28	IP addresses	97151
2016-05-28	Passwords	97151
2016-05-28	Payment histories	97151
2016-05-28	Private messages	97151
2016-05-28	Usernames	97151
2016-05-28	Website activity	97151
2014-02-12	Email addresses	2239
2014-02-12	Passwords	2239
2014-02-12	Reward program balances	2239
2017-09-01	Email addresses	10371766
2017-09-01	Passwords	10371766
2017-09-01	Usernames	10371766
2015-09-03	Dates of birth	178201
2015-09-03	Email addresses	178201
2015-09-03	Geographic locations	178201
2015-09-03	IP addresses	178201
2015-09-03	Passwords	178201
2015-09-03	Usernames	178201
2015-09-03	Website activity	178201
2017-12-31	Age groups	84011
2017-12-31	Credit cards	84011
2017-12-31	Email addresses	84011
2017-12-31	Genders	84011
2017-12-31	Names	84011
2017-12-31	Passwords	84011
2017-12-31	Phone numbers	84011
2017-12-31	Physical addresses	84011
2017-12-31	Purchases	84011
2017-12-31	Usernames	84011
2019-09-27	Email addresses	82060
2019-09-27	IP addresses	82060
2019-09-27	Names	10653
2019-09-27	Phone numbers	10653
2019-09-27	Physical addresses	10653
2019-09-27	Purchases	10653
2019-09-27	Dates of birth	71407
2019-09-27	Passwords	71407
2019-09-27	Usernames	71407
2017-11-21	Email addresses	181871
2017-11-21	Passwords	181871
2017-11-21	Usernames	181871
2011-12-26	Email addresses	29020808
2011-12-26	Names	29020808
2011-12-26	Usernames	29020808
2021-02-22	Bank account numbers	1921722
2021-02-22	Dates of birth	1921722
2021-02-22	Email addresses	1921722
2021-02-22	Genders	1921722
2021-02-22	IP addresses	1921722
2021-02-22	Names	1921722
2021-02-22	Payment histories	1921722
2021-02-22	Phone numbers	1921722
2021-02-22	Physical addresses	1921722
2018-05-31	Email addresses	26151608
2018-05-31	Names	26151608
2018-05-31	Phone numbers	26151608
2018-05-31	Physical addresses	26151608
2020-04-17	Dates of birth	71443698
2020-04-17	Email addresses	71443698
2020-04-17	Genders	71443698
2020-04-17	Names	71443698
2020-04-17	Passwords	71443698
2019-08-21	Email addresses	6002694
2019-08-21	Genders	6002694
2019-08-21	Geographic locations	6002694
2019-08-21	IP addresses	6002694
2019-08-21	Passwords	6002694
2019-08-21	Usernames	6002694
2013-12-12	Dates of birth	352120
2013-12-12	Email addresses	352120
2013-12-12	IP addresses	352120
2013-12-12	Passwords	352120
2013-12-12	Usernames	352120
2013-12-12	Website activity	352120
2014-09-11	Bios	652683
2014-09-11	Email addresses	652683
2014-09-11	Geographic locations	652683
2014-09-11	IP addresses	652683
2014-09-11	Names	652683
2014-09-11	Passwords	652683
2014-09-11	Usernames	652683
2020-12-17	Age groups	637279
2020-12-17	Dates of birth	637279
2020-12-17	Email addresses	637279
2020-12-17	Genders	637279
2020-12-17	Names	637279
2020-12-17	Physical addresses	637279
2018-06-12	Email addresses	43432346
2015-12-27	Dates of birth	3827238
2015-12-27	Email addresses	3827238
2015-12-27	IP addresses	3827238
2015-12-27	Names	3827238
2015-12-27	Passwords	3827238
2015-12-27	Usernames	3827238
2016-02-25	Email addresses	83957
2016-02-25	Passwords	83957
2016-02-25	Usernames	83957
2020-02-21	Account balances	599667
2020-02-21	Dates of birth	599667
2020-02-21	Email addresses	599667
2020-02-21	Names	599667
2020-02-21	Passwords	599667
2020-02-21	Phone numbers	599667
2020-02-21	Physical addresses	599667
2020-02-21	Usernames	599667
2013-02-28	Email addresses	65469298
2013-02-28	Passwords	65469298
2014-02-20	Email addresses	3200
2014-02-20	Names	3200
2014-02-20	Passwords	3200
2014-02-20	Usernames	3200
2017-04-25	Email addresses	428779
2017-04-25	IP addresses	428779
2017-04-25	Passwords	428779
2017-04-25	Usernames	428779
2019-11-01	Email addresses	564962
2019-11-01	Passwords	564962
2020-12-24	Dates of birth	547422
2020-12-24	Education levels	547422
2020-12-24	Email addresses	547422
2020-12-24	Ethnicities	547422
2020-12-24	Genders	547422
2020-12-24	Job titles	547422
2020-12-24	Names	547422
2020-12-24	Phone numbers	547422
2020-12-24	Physical addresses	547422
2020-12-24	Social security numbers	547422
2021-01-26	Bank account numbers	11498146
2021-01-26	Credit status information	11498146
2021-01-26	Dates of birth	11498146
2021-01-26	Email addresses	11498146
2021-01-26	Employers	11498146
2021-01-26	Health insurance information	11498146
2021-01-26	Income levels	11498146
2021-01-26	IP addresses	11498146
2021-01-26	Names	11498146
2021-01-26	Personal health data	11498146
2021-01-26	Phone numbers	11498146
2021-01-26	Physical addresses	11498146
2021-01-26	Smoking habits	11498146
2021-01-26	Social security numbers	11498146
2020-07-17	Email addresses	235233
2020-07-17	Genders	235233
2020-07-17	IP addresses	235233
2020-07-17	Passwords	235233
2020-07-17	Usernames	235233
2016-01-14	Email addresses	395044
2016-01-14	Passwords	395044
2016-01-14	Usernames	395044
2019-03-31	Email addresses	30433
2019-03-31	Names	30433
2019-03-31	Personal health data	30433
2019-03-31	Social security numbers	30433
2015-11-03	Dates of birth	518966
2015-11-03	Email addresses	518966
2015-11-03	Homepage URLs	518966
2015-11-03	Instant messenger identities	518966
2015-11-03	IP addresses	518966
2015-11-03	Passwords	518966
2015-11-03	Security questions and answers	518966
2015-11-03	Spoken languages	518966
2015-11-03	Website activity	518966
2019-07-08	Browser user agent details	686899
2019-07-08	Email addresses	686899
2019-07-08	Genders	686899
2019-07-08	IP addresses	686899
2019-07-08	Names	686899
2019-07-08	Passwords	686899
2019-07-08	Phone numbers	686899
2019-07-08	Spoken languages	686899
2019-07-08	Time zones	686899
2019-07-08	Website activity	686899
2019-02-25	Dates of birth	763117241
2019-02-25	Email addresses	763117241
2019-02-25	Employers	763117241
2019-02-25	Genders	763117241
2019-02-25	Geographic locations	763117241
2019-02-25	IP addresses	763117241
2019-02-25	Job titles	763117241
2019-02-25	Names	763117241
2019-02-25	Phone numbers	763117241
2019-02-25	Physical addresses	763117241
2014-01-10	Email addresses	16919
2014-01-10	Historical passwords	16919
2014-01-10	IP addresses	16919
2014-01-10	Passwords	16919
2014-01-10	Private messages	16919
2014-01-10	Usernames	16919
2014-01-10	Website activity	16919
2020-04-08	Email addresses	94353
2020-04-08	Names	94353
2020-04-08	Phone numbers	94353
2020-04-08	Physical addresses	94353
2018-05-07	Email addresses	777649
2018-05-07	Government issued IDs	777649
2018-05-07	Names	777649
2018-05-07	Passwords	777649
2018-05-07	Phone numbers	777649
2015-05-19	Dates of birth	24853850
2015-05-19	Email addresses	24853850
2015-05-19	Genders	24853850
2015-05-19	IP addresses	24853850
2015-05-19	Marital statuses	24853850
2015-05-19	Names	24853850
2015-05-19	Occupations	24853850
2015-05-19	Passwords	24853850
2015-05-19	Phone numbers	24853850
2015-05-19	Physical addresses	24853850
2015-05-19	Usernames	24853850
2013-11-30	Credit cards	56021
2013-11-30	Email addresses	56021
2013-11-30	Government issued IDs	56021
2013-11-30	IP addresses	56021
2013-11-30	Names	56021
2013-11-30	Passwords	56021
2013-11-30	Phone numbers	56021
2013-11-30	Physical addresses	56021
2013-11-30	Purchases	56021
2013-11-30	SMS messages	56021
2013-11-30	Usernames	56021
2015-11-13	Dates of birth	4833678
2015-11-13	Email addresses	4833678
2015-11-13	Family members' names	4833678
2015-11-13	Genders	4833678
2015-11-13	IP addresses	4833678
2015-11-13	Names	4833678
2015-11-13	Passwords	4833678
2015-11-13	Physical addresses	4833678
2015-11-13	Security questions and answers	4833678
2015-11-13	Usernames	4833678
2015-11-13	Website activity	4833678
2016-02-13	Email addresses	2013164
2016-02-13	IP addresses	2013164
2016-02-13	Names	2013164
2016-02-13	Phone numbers	2013164
2016-02-13	Physical addresses	2013164
2012-07-04	Email addresses	1020136
2012-07-04	Passwords	1020136
2012-07-04	Usernames	1020136
2012-07-04	Website activity	1020136
2014-11-24	Email addresses	819478
2014-11-24	Usernames	819478
2014-11-24	Website activity	819478
2013-11-03	Email addresses	8600635
2013-11-03	Passwords	8600635
2013-11-03	Usernames	8600635
2021-01-06	Email addresses	1306723
2021-01-06	Genders	1306723
2021-01-06	Names	1306723
2021-01-06	Passwords	1306723
2021-01-06	Phone numbers	1306723
2021-01-06	Physical addresses	1306723
2016-06-27	Email addresses	11657763
2016-06-27	Names	11657763
2016-06-27	Passwords	11657763
2012-05-21	Email addresses	134047
2012-05-21	Email messages	134047
2012-05-21	Employers	134047
2012-05-21	IP addresses	134047
2012-05-21	Names	134047
2012-05-21	Partial credit card data	134047
2012-05-21	Passwords	134047
2012-05-21	Payment histories	134047
2012-05-21	Physical addresses	134047
2012-05-21	Website activity	134047
2019-06-10	Dates of birth	224119
2019-06-10	Email addresses	224119
2019-06-10	Names	224119
2019-06-10	Phone numbers	224119
2019-06-10	Physical addresses	224119
2018-10-07	Email addresses	1274051
2018-10-07	IP addresses	1274051
2018-10-07	Names	1274051
2018-10-07	Passwords	1274051
2018-10-07	Usernames	1274051
2015-07-11	Dates of birth	738556
2015-07-11	Email addresses	738556
2015-07-11	IP addresses	738556
2015-07-11	Passwords	738556
2015-07-11	Usernames	738556
2013-09-03	Email addresses	202683
2013-09-03	Instant messenger identities	202683
2013-09-03	IP addresses	202683
2013-09-03	Names	202683
2013-09-03	Passwords	202683
2013-09-03	Private messages	202683
2013-09-03	Usernames	202683
2013-09-03	Website activity	202683
2016-08-07	Auth tokens	2247314
2016-08-07	Dates of birth	2247314
2016-08-07	Email addresses	2247314
2016-08-07	Genders	2247314
2016-08-07	Names	2247314
2016-08-07	Phone numbers	2247314
2016-08-07	Usernames	2247314
2020-01-27	Auth tokens	9705172
2020-01-27	Dates of birth	9705172
2020-01-27	Email addresses	9705172
2020-01-27	Genders	9705172
2020-01-27	Geographic locations	9705172
2020-01-27	IP addresses	9705172
2020-01-27	Names	9705172
2020-01-27	Passwords	9705172
2020-01-27	Phone numbers	9705172
2020-01-27	Profile photos	9705172
